,LBJ_Q,LBJ_Q_filled,LBJ_Q_combined,SSY_meas,SSY_pred_pre,SSY_pred_post,SSY_pred_combined,SSY_combined
2014-12-16,451.0,500.00530746751787,451.0,0.9075289747945547,0.0,0.4839574546231312,0.4839574546231312,0.9075289747945547
2014-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,3196.0,3571.574430213979,3196.0,2.957034369361215,0.0,4.243561816843439,4.243561816843439,2.957034369361215
2014-12-19,887.0,664.8357670269795,887.0,0.5874362216011662,0.0,1.036978053203162,1.036978053203162,0.5874362216011662
2014-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-21,4666.0,5306.467178615148,4666.0,4.144697175481638,0.0,6.1671349128282795,6.1671349128282795,4.144697175481638
2014-12-22,4916.0,4967.4171826858765,4916.0,0.14651414553565997,0.0,6.712267430894082,6.712267430894082,5.669126005903374
2014-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-26,356.00000000000006,664.8357670269795,356.00000000000006,0.19420332632273757,0.0,0.37073709639594354,0.37073709639594354,0.19420332632273757
2014-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-29,0.0,584.5069987606596,584.5069987606596,0.0,0.0,0.6481678817840071,0.6481678817840071,0.6481678817840071
2014-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,3244.0,3166.5031216066577,3244.0,0.0,0.0,4.469656117801031,4.469656117801031,4.469656117801031
